id;timestamp;schema_id;schema_value
1;2397848;2;{"type":"TrustCredential","issuer":"did:pkh:eth:0x126409ed86b1995d8ede6e77bc080c98ec7d4c72","credentialSubject":{"id":"did:pkh:eth:0x90f8bf6a479f320ead074411a4b0e7944ea8c9c5","trustworthiness":[{"scope":"Software security","level":0.8186071,"reason":[]}]},"proof":{"signature":"8bc9b0ac76a482508651ffafeba74face79f3cc5bb337dd8eb344dd72bc0282e2f50f45cece122cb1013fbadb9e66d6770c700ebd0f96775e81a9cec7b1e3f0c01"}}
2;2397848;2;{"type":"TrustCredential","issuer":"did:pkh:eth:0x126409ed86b1995d8ede6e77bc080c98ec7d4c72","credentialSubject":{"id":"did:pkh:eth:0x6902fb21457eca6354446cce4ad35dba89c23f7c","trustworthiness":[{"scope":"Software security","level":0.8775808,"reason":[]}]},"proof":{"signature":"72887e7a18ee1a50da5ff511243b8ec9c96dbd77cf70c546305c60bd99f5e9e93f1979cfa88b38aa73a463454d684473c6e4c04d7df21ec7b2572d25362ed30400"}}
3;2397848;2;{"type":"TrustCredential","issuer":"did:pkh:eth:0x126409ed86b1995d8ede6e77bc080c98ec7d4c72","credentialSubject":{"id":"did:pkh:eth:0x5356ac1839e3a93ef17e5e43efb535a9ca479eb7","trustworthiness":[{"scope":"Software security","level":0.85025144,"reason":[]}]},"proof":{"signature":"8bf18f6f9fb97ab23628a1f8f9460e5424fb44c16947cc56bfa8392d12eda08c2c60f7a751f4cf1c51bfce65925f006bca0a6f053ed7449fe6726f9207c00c5a00"}}
4;2397848;2;{"type":"TrustCredential","issuer":"did:pkh:eth:0x126409ed86b1995d8ede6e77bc080c98ec7d4c72","credentialSubject":{"id":"did:pkh:eth:0x86d21b267422e86ef9be2ac5d6f14083418f0539","trustworthiness":[{"scope":"Software security","level":0.23609316,"reason":[]}]},"proof":{"signature":"9c2aeeca41416ef33a14e90fa4795ea08369a8a1d95e1cc5156aa7b0f95be4585f72b88adbfe147d95d2960e60b9bd56ed25b21de81b4723ccaf6a23a21ac1a201"}}
5;2397848;2;{"type":"TrustCredential","issuer":"did:pkh:eth:0x126409ed86b1995d8ede6e77bc080c98ec7d4c72","credentialSubject":{"id":"did:pkh:eth:0x0409c03bd5cde214e8dbce02b40967a7ec8098bb","trustworthiness":[{"scope":"Software security","level":0.4152071,"reason":[]}]},"proof":{"signature":"ec4fd9a26f9c74845c7f6c07d0e1e9029bd6bd3586a60570fb930fbe33f91a330d525c8aaaa33ba5eacb9083ffce338d4d59778d5d737e054a786439562b656f00"}}
6;2397848;2;{"type":"TrustCredential","issuer":"did:pkh:eth:0x126409ed86b1995d8ede6e77bc080c98ec7d4c72","credentialSubject":{"id":"did:pkh:eth:0x3a07383352d5681b9b7c39195de40a5801e47fa9","trustworthiness":[{"scope":"Software security","level":0.1575445,"reason":[]}]},"proof":{"signature":"1fada89b2448b12c649c7e97088e774b5be8821322277f8346a3e77183e92cb875ce8a967578127960941e1c99b9d338a2f2274899e2727b20aff7a55e5e703601"}}
7;2397848;2;{"type":"TrustCredential","issuer":"did:pkh:eth:0x126409ed86b1995d8ede6e77bc080c98ec7d4c72","credentialSubject":{"id":"did:pkh:eth:0xb520af9aa84fc46d88b79fb19753bc2b3bf7fe0a","trustworthiness":[{"scope":"Software security","level":0.7676128,"reason":[]}]},"proof":{"signature":"8bb3a37602990f67f02b246be731f4d44ce891a17ee8cf9a66c2d721523777583675c542d46febef79b224f2dcfdf1d911170d8abe2285c749a06bbb2742e24201"}}
8;2397848;2;{"type":"TrustCredential","issuer":"did:pkh:eth:0x126409ed86b1995d8ede6e77bc080c98ec7d4c72","credentialSubject":{"id":"did:pkh:eth:0x962a96fe5f3197a010d64655cdbe982c10506906","trustworthiness":[{"scope":"Software security","level":0.5357366,"reason":[]}]},"proof":{"signature":"7705a094a26f41c02088fbbd4049d4f6fe2a4651d859e6b06e66d3a980f7eb9264a7a1ccfc74f7ec2a6b65f720a7f8e51bc2f4debcd6acc020e3883ad08d1a2d00"}}
9;2397848;2;{"type":"TrustCredential","issuer":"did:pkh:eth:0x126409ed86b1995d8ede6e77bc080c98ec7d4c72","credentialSubject":{"id":"did:pkh:eth:0xd68a2f7d04c339aee2563878b76ea18f4881f0f3","trustworthiness":[{"scope":"Software security","level":0.15899158,"reason":[]}]},"proof":{"signature":"596e7e99c2abb6515e4d8ec6500ebcaae20a83322873ac7103583fae8b6350047264602d64c479108fdeb72a8c1593cb084ee942dc77a1a167320f9ea5f7d19d01"}}
10;2397848;2;{"type":"TrustCredential","issuer":"did:pkh:eth:0x126409ed86b1995d8ede6e77bc080c98ec7d4c72","credentialSubject":{"id":"did:pkh:eth:0x1d37ac9dec4bef208dabead053961b2500b43bbb","trustworthiness":[{"scope":"Software security","level":0.20174485,"reason":[]}]},"proof":{"signature":"789cfafff52f9960eb851ef92ec03fb064ec20498444a1f88cf3e3ee7e928a2d653aa15333190c18a3e5a3001fb8b9e049f841f93bfc9094e967f0e0f44dcc8c00"}}
11;2397848;2;{"type":"TrustCredential","issuer":"did:pkh:eth:0x126409ed86b1995d8ede6e77bc080c98ec7d4c72","credentialSubject":{"id":"did:pkh:eth:0x571b379e95362b8a314ab5c39041340172458ca8","trustworthiness":[{"scope":"Software security","level":0.15108168,"reason":[]}]},"proof":{"signature":"db7d297ca4fcc319765053431f06506a2694297d3a81fb770c913ea8ca80706b4c28bdcf4e9a32be4de372dd1c6a8f95d93110ec2e47cea5bd6dcfc482456f5a00"}}
12;2397848;2;{"type":"TrustCredential","issuer":"did:pkh:eth:0x126409ed86b1995d8ede6e77bc080c98ec7d4c72","credentialSubject":{"id":"did:pkh:eth:0xa43f4bb12aa9e2e02cb5e516df5bae16347f3849","trustworthiness":[{"scope":"Software security","level":0.5205915,"reason":[]}]},"proof":{"signature":"1b4a8e8d02794360dcf64ab5a3a5d72494365d96f49b47a7c80252791f7a94895ad762e4ff47f19edb9e27c8c10d8b8fd925b04331b66f554546acbacb8617f701"}}
13;2397848;2;{"type":"TrustCredential","issuer":"did:pkh:eth:0x126409ed86b1995d8ede6e77bc080c98ec7d4c72","credentialSubject":{"id":"did:pkh:eth:0xd6c63cc8173db6b9cd263bda4d21f4ce0ae48e5e","trustworthiness":[{"scope":"Software security","level":0.93703014,"reason":[]}]},"proof":{"signature":"a8eb110c8ee76de97716f40e7b43a2dc229ba0bf4a81b4374a195e195f8ce0d63495f050786eba4e382a48e978542b403c33873f80758ba99dcb9b6b1e02b54501"}}
14;2397848;2;{"type":"TrustCredential","issuer":"did:pkh:eth:0x126409ed86b1995d8ede6e77bc080c98ec7d4c72","credentialSubject":{"id":"did:pkh:eth:0x35c7fc7b3f8229f1de12b662f34d11cad57e4fd8","trustworthiness":[{"scope":"Software security","level":0.054636896,"reason":[]}]},"proof":{"signature":"16014324ed1a74bbadcef1099441e4f38a2755d8224ff66e464cd320c988926b55feb048ad37623c52ebc29bfb69d33396f5959fa098e3521bd0dddd7b47c86700"}}
15;2397848;2;{"type":"TrustCredential","issuer":"did:pkh:eth:0x126409ed86b1995d8ede6e77bc080c98ec7d4c72","credentialSubject":{"id":"did:pkh:eth:0x3af2183e588d6fa3d907dfc2304a6eb7d35f20d7","trustworthiness":[{"scope":"Software security","level":0.5856831,"reason":[]}]},"proof":{"signature":"24a323458ba0bf16351083e991196c476642c59f8c249718d08cb7d61825d89d350a7c90b1ef037a114c5708bdbf69d6c1f3e3b6fd86e597db61c6f908271ae600"}}
16;2397848;2;{"type":"TrustCredential","issuer":"did:pkh:eth:0x126409ed86b1995d8ede6e77bc080c98ec7d4c72","credentialSubject":{"id":"did:pkh:eth:0x061f027bbc0338abfc8f72a5d9a2d238fd4304fe","trustworthiness":[{"scope":"Software security","level":0.42488366,"reason":[]}]},"proof":{"signature":"c18834e5c630fe2d72ddc2203498772fe05385e72af214529c37d9a3428fd1344eb01df4002253a0c4c672f7f0c2b5befeb8459a365a8ddd947a4f2b772f0dcc01"}}
17;2397848;2;{"type":"TrustCredential","issuer":"did:pkh:eth:0x126409ed86b1995d8ede6e77bc080c98ec7d4c72","credentialSubject":{"id":"did:pkh:eth:0x89c2a7cf7e0751293ee5f3cd6a228b9d3622af15","trustworthiness":[{"scope":"Software security","level":0.34594232,"reason":[]}]},"proof":{"signature":"fb2881c734f779a768f1084822adf643fc808d4d0026679a037fb08b62564a011f9cf05eba8d8762e879302bad5304c381d933dc5e899fb5295a0ea2da62a9bd01"}}
18;2397848;2;{"type":"TrustCredential","issuer":"did:pkh:eth:0x126409ed86b1995d8ede6e77bc080c98ec7d4c72","credentialSubject":{"id":"did:pkh:eth:0xd49725907398d4fa0279f0bca6c1b4182ad85091","trustworthiness":[{"scope":"Software security","level":0.77356726,"reason":[]}]},"proof":{"signature":"60fe98d39757699e635920de7d7ba5524913ee2f962ac895da8c10d2e260068119ae14c567d81486d0c219b8baedb0d93c7bf961031b1ed73627d473dec7f40600"}}
19;2397848;2;{"type":"TrustCredential","issuer":"did:pkh:eth:0x126409ed86b1995d8ede6e77bc080c98ec7d4c72","credentialSubject":{"id":"did:pkh:eth:0x6759900fb0f888554685465d16768c662c7f45e8","trustworthiness":[{"scope":"Software security","level":0.1053409,"reason":[]}]},"proof":{"signature":"ef741b15bd31740714d27bacdd7de44aa3cc88300b8a474e76fb77f8e7b6b30c707416081c5421d5d78041b3d9f7b61e45eee40d54865fe290fd13db6717c40600"}}
20;2397848;2;{"type":"TrustCredential","issuer":"did:pkh:eth:0x126409ed86b1995d8ede6e77bc080c98ec7d4c72","credentialSubject":{"id":"did:pkh:eth:0x9f988360b1ddec6e779de737cd56ce3910658956","trustworthiness":[{"scope":"Software security","level":0.26040095,"reason":[]}]},"proof":{"signature":"575d70d9db95c19d7974e680c26cd0beb85f53b401d376a01069d24bd3ebfc815564e5b7117a3ce390a344026be27d9dd5efbb20e66eb0a0eda3c610c07b58e100"}}
21;2397848;2;{"type":"TrustCredential","issuer":"did:pkh:eth:0x6902fb21457eca6354446cce4ad35dba89c23f7c","credentialSubject":{"id":"did:pkh:eth:0x90f8bf6a479f320ead074411a4b0e7944ea8c9c5","trustworthiness":[{"scope":"Software security","level":0.14300835,"reason":[]}]},"proof":{"signature":"84826bfef2f756038c24b1a2ed007c765196dab2daa33796fcd3ce0dbda18dc378adb369e90ae92f169e218261241b2fcb2e4a46c124550ac3cb192bbdc38e7101"}}
